Gender	Reference period	Province	Population	Age Group	Births	Deaths	Migration Effect
Men	2014	Alberta	109325	1 to 4 years			
Men	2014	British Columbia	92425	1 to 4 years			
Men	2014	Manitoba	33319	1 to 4 years			
Men	2014	New Brunswick	14378	1 to 4 years			
Men	2014	Newfoundland and Labrador	9787	1 to 4 years			
Men	2014	Northwest Territories	1230	1 to 4 years			
Men	2014	Nova Scotia	18030	1 to 4 years			
Men	2014	Nunavut	1784	1 to 4 years			
Men	2014	Ontario	294984	1 to 4 years			
Men	2014	Prince Edward Island	2924	1 to 4 years			
Men	2014	Quebec	182349	1 to 4 years			
Men	2014	Saskatchewan	30169	1 to 4 years			
Men	2014	Yukon	896	1 to 4 years			
Men	2015	Alberta	110155	1 to 4 years			
Men	2015	British Columbia	93023	1 to 4 years			
Men	2015	Manitoba	33921	1 to 4 years			
Men	2015	New Brunswick	14324	1 to 4 years			
Men	2015	Newfoundland and Labrador	9623	1 to 4 years			
Men	2015	Northwest Territories	1247	1 to 4 years			
Men	2015	Nova Scotia	17450	1 to 4 years			
Men	2015	Nunavut	1759	1 to 4 years			
Men	2015	Ontario	293777	1 to 4 years			
Men	2015	Prince Edward Island	2908	1 to 4 years			
Men	2015	Quebec	181786	1 to 4 years			
Men	2015	Saskatchewan	30415	1 to 4 years			
Men	2015	Yukon	931	1 to 4 years			
Men	2016	Alberta	111130	1 to 4 years			
Men	2016	British Columbia	95688	1 to 4 years			
Men	2016	Manitoba	34833	1 to 4 years			
Men	2016	New Brunswick	14276	1 to 4 years			
Men	2016	Newfoundland and Labrador	9531	1 to 4 years			
Men	2016	Northwest Territories	1354	1 to 4 years			
Men	2016	Nova Scotia	17518	1 to 4 years			
Men	2016	Nunavut	1750	1 to 4 years			
Men	2016	Ontario	295597	1 to 4 years			
Men	2016	Prince Edward Island	2972	1 to 4 years			
Men	2016	Quebec	181378	1 to 4 years			
Men	2016	Saskatchewan	30873	1 to 4 years			
Men	2016	Yukon	960	1 to 4 years			
Men	2017	Alberta	112170	1 to 4 years			
Men	2017	British Columbia	96244	1 to 4 years			
Men	2017	Manitoba	35336	1 to 4 years			
Men	2017	New Brunswick	14239	1 to 4 years			
Men	2017	Newfoundland and Labrador	9531	1 to 4 years			
Men	2017	Northwest Territories	1347	1 to 4 years			
Men	2017	Nova Scotia	17630	1 to 4 years			
Men	2017	Nunavut	1778	1 to 4 years			
Men	2017	Ontario	297147	1 to 4 years			
Men	2017	Prince Edward Island	3065	1 to 4 years			
Men	2017	Quebec	182416	1 to 4 years			
Men	2017	Saskatchewan	31242	1 to 4 years			
Men	2017	Yukon	962	1 to 4 years			
Men	2018	Alberta	113051	1 to 4 years			
Men	2018	British Columbia	96277	1 to 4 years			
Men	2018	Manitoba	35318	1 to 4 years			
Men	2018	New Brunswick	14204	1 to 4 years			
Men	2018	Newfoundland and Labrador	9382	1 to 4 years			
Men	2018	Northwest Territories	1323	1 to 4 years			
Men	2018	Nova Scotia	17733	1 to 4 years			
Men	2018	Nunavut	1817	1 to 4 years			
Men	2018	Ontario	299827	1 to 4 years			
Men	2018	Prince Edward Island	3191	1 to 4 years			
Men	2018	Quebec	182665	1 to 4 years			
Men	2018	Saskatchewan	31343	1 to 4 years			
Men	2018	Yukon	941	1 to 4 years			
Men	2019	Alberta	112928	1 to 4 years			
Men	2019	British Columbia	96033	1 to 4 years			
Men	2019	Manitoba	35658	1 to 4 years			
Men	2019	New Brunswick	14076	1 to 4 years			
Men	2019	Newfoundland and Labrador	8927	1 to 4 years			
Men	2019	Northwest Territories	1323	1 to 4 years			
Men	2019	Nova Scotia	17955	1 to 4 years			
Men	2019	Nunavut	1847	1 to 4 years			
Men	2019	Ontario	302444	1 to 4 years			
Men	2019	Prince Edward Island	3163	1 to 4 years			
Men	2019	Quebec	181583	1 to 4 years			
Men	2019	Saskatchewan	31155	1 to 4 years			
Men	2019	Yukon	953	1 to 4 years			
Men	2020	Alberta	111735	1 to 4 years			
Men	2020	British Columbia	94919	1 to 4 years			
Men	2020	Manitoba	35396	1 to 4 years			
Men	2020	New Brunswick	13921	1 to 4 years			
Men	2020	Newfoundland and Labrador	8639	1 to 4 years			
Men	2020	Northwest Territories	1286	1 to 4 years			
Men	2020	Nova Scotia	17772	1 to 4 years			
Men	2020	Nunavut	1872	1 to 4 years			
Men	2020	Ontario	301944	1 to 4 years			
Men	2020	Prince Edward Island	3018	1 to 4 years			
Men	2020	Quebec	180058	1 to 4 years			
Men	2020	Saskatchewan	30577	1 to 4 years			
Men	2020	Yukon	969	1 to 4 years			
Men	2021	Alberta	108826	1 to 4 years			
Men	2021	British Columbia	93640	1 to 4 years			
Men	2021	Manitoba	34646	1 to 4 years			
Men	2021	New Brunswick	13765	1 to 4 years			
Men	2021	Newfoundland and Labrador	8266	1 to 4 years			
Men	2021	Northwest Territories	1282	1 to 4 years			
Men	2021	Nova Scotia	17483	1 to 4 years			
Men	2021	Nunavut	1905	1 to 4 years			
Men	2021	Ontario	297700	1 to 4 years			
Men	2021	Prince Edward Island	2893	1 to 4 years			
Men	2021	Quebec	176775	1 to 4 years			
Men	2021	Saskatchewan	29862	1 to 4 years			
Men	2021	Yukon	921	1 to 4 years			
Men	2022	Alberta	106872	1 to 4 years			
Men	2022	British Columbia	92496	1 to 4 years			
Men	2022	Manitoba	34162	1 to 4 years			
Men	2022	New Brunswick	13917	1 to 4 years			
Men	2022	Newfoundland and Labrador	8093	1 to 4 years			
Men	2022	Northwest Territories	1235	1 to 4 years			
Men	2022	Nova Scotia	17483	1 to 4 years			
Men	2022	Nunavut	1838	1 to 4 years			
Men	2022	Ontario	294507	1 to 4 years			
Men	2022	Prince Edward Island	2891	1 to 4 years			
Men	2022	Quebec	175663	1 to 4 years			
Men	2022	Saskatchewan	29383	1 to 4 years			
Men	2022	Yukon	910	1 to 4 years			
Men	2023	Alberta	107230	1 to 4 years			
Men	2023	British Columbia	91462	1 to 4 years			
Men	2023	Manitoba	34049	1 to 4 years			
Men	2023	New Brunswick	14312	1 to 4 years			
Men	2023	Newfoundland and Labrador	8135	1 to 4 years			
Men	2023	Northwest Territories	1133	1 to 4 years			
Men	2023	Nova Scotia	17468	1 to 4 years			
Men	2023	Nunavut	1741	1 to 4 years			
Men	2023	Ontario	294236	1 to 4 years			
Men	2023	Prince Edward Island	2968	1 to 4 years			
Men	2023	Quebec	177219	1 to 4 years			
Men	2023	Saskatchewan	29253	1 to 4 years			
Men	2023	Yukon	922	1 to 4 years			
Women	2014	Alberta	103971	1 to 4 years			
Women	2014	British Columbia	87628	1 to 4 years			
Women	2014	Manitoba	32086	1 to 4 years			
Women	2014	New Brunswick	14318	1 to 4 years			
Women	2014	Newfoundland and Labrador	9253	1 to 4 years			
Women	2014	Northwest Territories	1280	1 to 4 years			
Women	2014	Nova Scotia	17001	1 to 4 years			
Women	2014	Nunavut	1653	1 to 4 years			
Women	2014	Ontario	282449	1 to 4 years			
Women	2014	Prince Edward Island	2831	1 to 4 years			
Women	2014	Quebec	174015	1 to 4 years			
Women	2014	Saskatchewan	28863	1 to 4 years			
Women	2014	Yukon	831	1 to 4 years			
Women	2015	Alberta	105258	1 to 4 years			
Women	2015	British Columbia	88194	1 to 4 years			
Women	2015	Manitoba	32286	1 to 4 years			
Women	2015	New Brunswick	13954	1 to 4 years			
Women	2015	Newfoundland and Labrador	9060	1 to 4 years			
Women	2015	Northwest Territories	1255	1 to 4 years			
Women	2015	Nova Scotia	16760	1 to 4 years			
Women	2015	Nunavut	1679	1 to 4 years			
Women	2015	Ontario	281028	1 to 4 years			
Women	2015	Prince Edward Island	2846	1 to 4 years			
Women	2015	Quebec	173939	1 to 4 years			
Women	2015	Saskatchewan	29149	1 to 4 years			
Women	2015	Yukon	848	1 to 4 years			
Women	2016	Alberta	106633	1 to 4 years			
Women	2016	British Columbia	89364	1 to 4 years			
Women	2016	Manitoba	33024	1 to 4 years			
Women	2016	New Brunswick	13846	1 to 4 years			
Women	2016	Newfoundland and Labrador	8896	1 to 4 years			
