Geography,Gender,Age group,Reference period,Net-migration
Newfoundland and Labrador,Men,0 years,2014 / 2015,34
,,,2015 / 2016,28
,,,2016 / 2017,15
,,,2017 / 2018,0
,,,2018 / 2019,-2
,,,2019 / 2020,3
,,,2020 / 2021,16
,,,2021 / 2022,7
,,,2022 / 2023,4
,,,2023 / 2024,3
,,1 year,2014 / 2015,31
,,,2015 / 2016,25
,,,2016 / 2017,9
,,,2017 / 2018,-9
,,,2018 / 2019,-10
,,,2019 / 2020,-4
,,,2020 / 2021,12
,,,2021 / 2022,26
,,,2022 / 2023,2
,,,2023 / 2024,5
,,2 years,2014 / 2015,28
,,,2015 / 2016,23
,,,2016 / 2017,1
,,,2017 / 2018,-15
,,,2018 / 2019,-15
,,,2019 / 2020,-9
,,,2020 / 2021,5
,,,2021 / 2022,28
,,,2022 / 2023,2
,,,2023 / 2024,15
,,3 years,2014 / 2015,27
,,,2015 / 2016,20
,,,2016 / 2017,-2
,,,2017 / 2018,-19
,,,2018 / 2019,-19
,,,2019 / 2020,-13
,,,2020 / 2021,3
,,,2021 / 2022,14
,,,2022 / 2023,9
,,,2023 / 2024,7
,,4 years,2014 / 2015,22
,,,2015 / 2016,16
,,,2016 / 2017,-6
,,,2017 / 2018,-20
,,,2018 / 2019,-20
,,,2019 / 2020,-15
,,,2020 / 2021,1
,,,2021 / 2022,-1
,,,2022 / 2023,-1
,,,2023 / 2024,-6
,,5 to 9 years,2014 / 2015,64
,,,2015 / 2016,45
,,,2016 / 2017,-17
,,,2017 / 2018,-80
,,,2018 / 2019,-82
,,,2019 / 2020,-66
,,,2020 / 2021,2
,,,2021 / 2022,62
,,,2022 / 2023,13
,,,2023 / 2024,13
,,10 to 14 years,2014 / 2015,-27
,,,2015 / 2016,-35
,,,2016 / 2017,6
,,,2017 / 2018,-34
,,,2018 / 2019,-25
,,,2019 / 2020,-16
,,,2020 / 2021,20
,,,2021 / 2022,79
,,,2022 / 2023,60
,,,2023 / 2024,38
,,15 to 19 years,2014 / 2015,-71
,,,2015 / 2016,-37
,,,2016 / 2017,-44
,,,2017 / 2018,-88
,,,2018 / 2019,-99
,,,2019 / 2020,-58
,,,2020 / 2021,7
,,,2021 / 2022,0
,,,2022 / 2023,2
,,,2023 / 2024,-21
,,20 to 24 years,2014 / 2015,-290
,,,2015 / 2016,-131
,,,2016 / 2017,-272
,,,2017 / 2018,-383
,,,2018 / 2019,-366
,,,2019 / 2020,-242
,,,2020 / 2021,-56
,,,2021 / 2022,-181
,,,2022 / 2023,-184
,,,2023 / 2024,-162
,,25 to 29 years,2014 / 2015,-58
,,,2015 / 2016,-103
,,,2016 / 2017,-207
,,,2017 / 2018,-312
,,,2018 / 2019,-297
,,,2019 / 2020,-266
,,,2020 / 2021,-76
,,,2021 / 2022,-126
,,,2022 / 2023,-186
,,,2023 / 2024,-187
,,30 to 34 years,2014 / 2015,34
,,,2015 / 2016,7
,,,2016 / 2017,-181
,,,2017 / 2018,-255
,,,2018 / 2019,-253
,,,2019 / 2020,-233
,,,2020 / 2021,-82
,,,2021 / 2022,13
,,,2022 / 2023,-82
,,,2023 / 2024,-69
,,35 to 39 years,2014 / 2015,-68
,,,2015 / 2016,-75
,,,2016 / 2017,-100
,,,2017 / 2018,-140
,,,2018 / 2019,-128
,,,2019 / 2020,-112
,,,2020 / 2021,-32
,,,2021 / 2022,39
,,,2022 / 2023,-1
,,,2023 / 2024,-24
,,40 to 44 years,2014 / 2015,5
,,,2015 / 2016,-23
,,,2016 / 2017,-142
,,,2017 / 2018,-179
,,,2018 / 2019,-172
,,,2019 / 2020,-163
,,,2020 / 2021,-73
,,,2021 / 2022,49
,,,2022 / 2023,1
,,,2023 / 2024,6
,,45 to 49 years,2014 / 2015,136
,,,2015 / 2016,133
,,,2016 / 2017,22
,,,2017 / 2018,14
,,,2018 / 2019,4
,,,2019 / 2020,5
,,,2020 / 2021,88
,,,2021 / 2022,77
,,,2022 / 2023,65
,,,2023 / 2024,32
,,50 to 54 years,2014 / 2015,70
,,,2015 / 2016,76
,,,2016 / 2017,-24
,,,2017 / 2018,-42
,,,2018 / 2019,-42
,,,2019 / 2020,-44
,,,2020 / 2021,40
,,,2021 / 2022,154
,,,2022 / 2023,126
,,,2023 / 2024,101
,,55 to 59 years,2014 / 2015,-9
,,,2015 / 2016,2
,,,2016 / 2017,64
,,,2017 / 2018,56
,,,2018 / 2019,48
,,,2019 / 2020,49
,,,2020 / 2021,109
,,,2021 / 2022,207
,,,2022 / 2023,185
,,,2023 / 2024,137
,,60 to 64 years,2014 / 2015,25
,,,2015 / 2016,31
,,,2016 / 2017,22
,,,2017 / 2018,24
,,,2018 / 2019,10
,,,2019 / 2020,22
,,,2020 / 2021,71
,,,2021 / 2022,186
,,,2022 / 2023,207
,,,2023 / 2024,152
,,65 to 69 years,2014 / 2015,27
,,,2015 / 2016,28
,,,2016 / 2017,1
,,,2017 / 2018,11
,,,2018 / 2019,-4
,,,2019 / 2020,7
,,,2020 / 2021,24
,,,2021 / 2022,154
,,,2022 / 2023,149
,,,2023 / 2024,107
,,70 to 74 years,2014 / 2015,-21
,,,2015 / 2016,-25
,,,2016 / 2017,-1
,,,2017 / 2018,11
,,,2018 / 2019,-1
,,,2019 / 2020,2
,,,2020 / 2021,13
,,,2021 / 2022,71
,,,2022 / 2023,44
,,,2023 / 2024,39
,,75 to 79 years,2014 / 2015,0
,,,2015 / 2016,0
,,,2016 / 2017,4
,,,2017 / 2018,11
,,,2018 / 2019,-2
,,,2019 / 2020,2
,,,2020 / 2021,12
,,,2021 / 2022,3
,,,2022 / 2023,27
,,,2023 / 2024,12
,,80 to 84 years,2014 / 2015,3
,,,2015 / 2016,2
,,,2016 / 2017,7
,,,2017 / 2018,7
,,,2018 / 2019,6
,,,2019 / 2020,7
,,,2020 / 2021,7
,,,2021 / 2022,-5
,,,2022 / 2023,-1
,,,2023 / 2024,-7
,,85 to 89 years,2014 / 2015,4
,,,2015 / 2016,3
,,,2016 / 2017,5
,,,2017 / 2018,5
,,,2018 / 2019,5
,,,2019 / 2020,5
,,,2020 / 2021,5
,,,2021 / 2022,2
,,,2022 / 2023,-5
,,,2023 / 2024,-4
,,90 years and older,2014 / 2015,0
,,,2015 / 2016,0
,,,2016 / 2017,-3
,,,2017 / 2018,-3
,,,2018 / 2019,-4
,,,2019 / 2020,-4
,,,2020 / 2021,0
,,,2021 / 2022,-3
,,,2022 / 2023,0
,,,2023 / 2024,0
,Women,0 years,2014 / 2015,14
,,,2015 / 2016,7
,,,2016 / 2017,0
,,,2017 / 2018,-8
,,,2018 / 2019,-13
,,,2019 / 2020,-3
,,,2020 / 2021,12
,,,2021 / 2022,16
,,,2022 / 2023,-3
,,,2023 / 2024,5
,,1 year,2014 / 2015,19
,,,2015 / 2016,12
,,,2016 / 2017,-1
,,,2017 / 2018,-9
,,,2018 / 2019,-17
,,,2019 / 2020,-6
,,,2020 / 2021,9
,,,2021 / 2022,19
,,,2022 / 2023,-3
,,,2023 / 2024,4
,,2 years,2014 / 2015,19
,,,2015 / 2016,15
,,,2016 / 2017,-1
,,,2017 / 2018,-12
,,,2018 / 2019,-17
,,,2019 / 2020,-6
,,,2020 / 2021,7
,,,2021 / 2022,21
,,,2022 / 2023,-5
,,,2023 / 2024,2
,,3 years,2014 / 2015,22
,,,2015 / 2016,18
,,,2016 / 2017,-2
,,,2017 / 2018,-13
,,,2018 / 2019,-20
,,,2019 / 2020,-9
,,,2020 / 2021,6
,,,2021 / 2022,22
,,,2022 / 2023,1
,,,2023 / 2024,6
,,4 years,2014 / 2015,22
,,,2015 / 2016,22
,,,2016 / 2017,-4
,,,2017 / 2018,-13
,,,2018 / 2019,-20
,,,2019 / 2020,-11
,,,2020 / 2021,5
,,,2021 / 2022,14
,,,2022 / 2023,6
,,,2023 / 2024,15
,,5 to 9 years,2014 / 2015,124
,,,2015 / 2016,100
,,,2016 / 2017,-25
,,,2017 / 2018,-65
,,,2018 / 2019,-84
,,,2019 / 2020,-54
,,,2020 / 2021,22
,,,2021 / 2022,62
,,,2022 / 2023,17
,,,2023 / 2024,9
,,10 to 14 years,2014 / 2015,42
,,,2015 / 2016,31
,,,2016 / 2017,-32
,,,2017 / 2018,-54
,,,2018 / 2019,-58
,,,2019 / 2020,-34
,,,2020 / 2021,11
,,,2021 / 2022,65
,,,2022 / 2023,20
,,,2023 / 2024,17
,,15 to 19 years,2014 / 2015,-152
,,,2015 / 2016,-102
,,,2016 / 2017,-15
,,,2017 / 2018,-60
,,,2018 / 2019,-52
,,,2019 / 2020,-27
,,,2020 / 2021,28
,,,2021 / 2022,-28
,,,2022 / 2023,26
,,,2023 / 2024,-17
,,20 to 24 years,2014 / 2015,-177
,,,2015 / 2016,-57
,,,2016 / 2017,-220
,,,2017 / 2018,-353
,,,2018 / 2019,-264
,,,2019 / 2020,-272
,,,2020 / 2021,-65
,,,2021 / 2022,-125
